source_path,source_line,diagnostic_type,diagnostic_reference_va,factory_candidate_va,wrapper_va,allocation_call_va,allocation_routine_va,allocation_bytes,allocation_hex,initialization_function_candidate,confidence
core/func.cpp,317,funcChainInf,0x004127b9,0x004127b0,0x00411910,0x0041191b,0x0054275d,44,0x2c,0x00411a70,Exact immediate and call chain observed; semantic type/layout not proven
core/grpfont.cpp,920,AflDIB,0x004158ae,0x00415830,0x00413c50,0x00413c5e,0x0054275d,292,0x124,0x00414200,Exact immediate and call chain observed; semantic type/layout not proven
core/main.cpp,172,FuncCtrlInf,0x0041e975,0x0041e7d0,0x004187a0,0x004187ca,0x0054275d,56,0x38,0x00418a80,Exact immediate and call chain observed; semantic type/layout not proven
core/pad.cpp,771,InputInf,0x00422b04,0x00422b00,0x0041f830,0x0041f83e,0x0054275d,12024,0x2ef8,0x0041f8a0,Exact immediate and call chain observed; semantic type/layout not proven
core/screen.cpp,580,ScreenInf,0x004250f4,0x004250f0,0x00422d40,0x00422d4b,0x0054275d,68,0x44,0x004233b0,Exact immediate and call chain observed; semantic type/layout not proven
core/sound.cpp,255,CSoundManager,0x00426439,0x004263e0,0x004259a0,0x004259ab,0x0054275d,4,0x4,0x00425cc0,Exact immediate and call chain observed; semantic type/layout not proven
core/sprtlib.cpp,2888,SprtInf,0x0044caa3,0x0044c9b0,0x00447800,0x0044780e,0x0054275d,1508,0x5e4,0x00448b40,Exact immediate and call chain observed; semantic type/layout not proven
core/sprtlib.cpp,950,SprtGroupInf,0x0044edb7,0x0044ed40,0x004477b0,0x004477bb,0x0054275d,112,0x70,0x00448a30,Exact immediate and call chain observed; semantic type/layout not proven
core/zwave.cpp,119,CWaveFile,0x00459aac,0x00459a70,0x004594d0,0x004594de,0x0054275d,160,0xa0,0x004596d0,Exact immediate and call chain observed; semantic type/layout not proven
core/zwave.cpp,173,CStreamingSound,0x00459cff,0x00459a70,0x004593f0,0x0045941d,0x0054275d,168,0xa8,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
core/zwave.cpp,209,CWaveFile,0x00459db9,0x00459d70,0x004594d0,0x004594de,0x0054275d,160,0xa0,0x004596d0,Exact immediate and call chain observed; semantic type/layout not proven
core/zwave.cpp,256,CStreamingSound,0x00459fdc,0x00459d70,0x004593f0,0x0045941d,0x0054275d,168,0xa8,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
effect/effchargepoint.cpp,40,EffectChargePointInf,0x0045d008,0x0045d000,0x0045c090,0x0045c0bd,0x0054275d,6464,0x1940,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
effect/efffanspark.cpp,131,EffectFanSparkInf,0x0045dc78,0x0045dc70,0x0045d2c0,0x0045d2ed,0x0054275d,992,0x3e0,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
effect/effline.cpp,154,EffectLineEffectInf,0x0045e528,0x0045e520,0x0045dd90,0x0045ddbd,0x0054275d,800,0x320,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
effect/effline.cpp,70,EffectLineEffectInf,0x0045e558,0x0045e550,0x0045dd90,0x0045ddbd,0x0054275d,800,0x320,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
effect/efflinespark.cpp,125,EffectLineSparkInf,0x0045ec78,0x0045ec70,0x0045e5d0,0x0045e5fd,0x0054275d,2912,0xb60,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
effect/efflinespark2.cpp,135,EffectLineSpark2Inf,0x0045fd18,0x0045fd10,0x0045f0a0,0x0045f0cd,0x0054275d,2988,0xbac,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
effect/efflinestone.cpp,139,EffectLineStoneInf,0x00460808,0x00460800,0x00460040,0x0046006d,0x0054275d,996,0x3e4,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
effect/efflinestone2.cpp,145,EffectLineStone2Inf,0x00460f38,0x00460f30,0x00460870,0x0046089d,0x0054275d,1012,0x3f4,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
effect/effmenuwindow.cpp,93,EffectMenuWindowInf,0x004613a8,0x004613a0,0x00460f60,0x00460f8a,0x0054275d,72,0x48,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
effect/effpyramid.cpp,379,EffectPyramidInf,0x00463288,0x00463280,0x00461530,0x0046155d,0x0054275d,436,0x1b4,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
effect/effscreenswitch.cpp,37,EffectScreenSwitchInf,0x00465968,0x00465960,0x00464640,0x0046466d,0x0054275d,7560,0x1d88,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
effect/effshortline.cpp,60,EffectShortLineEffectInf,0x00466278,0x00466270,0x00465cb0,0x00465cdd,0x0054275d,268,0x10c,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
effect/effshortline2.cpp,60,EffectShortLineEffect2Inf,0x00466868,0x00466860,0x004662a0,0x004662cd,0x0054275d,388,0x184,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
effect/effshortline3.cpp,83,EffectShortLineEffect3Inf,0x00466f88,0x00466f80,0x00466890,0x004668bd,0x0054275d,11544,0x2d18,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
effect/effstonegaugeline.cpp,130,EffectStoneGaugeLineInf,0x00467c28,0x00467c20,0x00467100,0x0046712d,0x0054275d,412,0x19c,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
game/ascii.cpp,1118,JapaneseStrInf,0x0046c43d,0x0046c210,0x0046a1c0,0x0046a1ce,0x0054275d,1668,0x684,0x0046ac80,Exact immediate and call chain observed; semantic type/layout not proven
game/ascii.cpp,1139,JapaneseStrInf,0x0046c5a2,0x0046c210,0x0046a1c0,0x0046a1ce,0x0054275d,1668,0x684,0x0046ac80,Exact immediate and call chain observed; semantic type/layout not proven
game/ascii.cpp,111,AsciiInf,0x00471064,0x00471060,0x0046a170,0x0046a17e,0x0054275d,107360,0x1a360,0x0046a8e0,Exact immediate and call chain observed; semantic type/layout not proven
game/background.cpp,1029,RenderMeshInf,0x00475fb2,0x004751b0,0x004712d0,0x004712fa,0x0054275d,36,0x24,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
game/background.cpp,1031,RenderMeshInf,0x00475fdb,0x004751b0,0x004712d0,0x004712fa,0x0054275d,36,0x24,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
game/background.cpp,136,BackGroundInf,0x00477884,0x00477880,0x00471280,0x0047128e,0x0054275d,13164,0x336c,0x00471480,Exact immediate and call chain observed; semantic type/layout not proven
game/bomb.cpp,87,BombInf,0x00478306,0x00478300,0x00477960,0x0047796b,0x0054275d,60,0x3c,0x004779b0,Exact immediate and call chain observed; semantic type/layout not proven
game/bomb_marisaa.cpp,172,BombMarisaAInf,0x00479123,0x00479120,0x004783a0,0x004783cd,0x0054275d,204,0xcc,0x004784e0,Exact immediate and call chain observed; semantic type/layout not proven
game/bomb_reimua.cpp,295,BombReimuAInf,0x0047a613,0x0047a610,0x00479140,0x0047916d,0x0054275d,5368,0x14f8,0x00479280,Exact immediate and call chain observed; semantic type/layout not proven
game/bullet.cpp,666,BulletInf,0x00486634,0x00486630,0x0047b5f0,0x0047b5fe,0x0054275d,2649512,0x286da8,0x0047b8a0,Exact immediate and call chain observed; semantic type/layout not proven
game/card.cpp,641,CardInf,0x00488b24,0x00488b20,0x00486a80,0x00486a8e,0x0054275d,200,0xc8,0x00486bb0,Exact immediate and call chain observed; semantic type/layout not proven
game/ecl.cpp,2387,EnemyDataInf::BossRenderInf,0x00495ac2,0x0048c010,0x0048b010,0x0048b01b,0x0054275d,28,0x1c,,Exact immediate and call chain observed; semantic type/layout not proven
game/ecl.cpp,2395,RenderMeshInf,0x00495bc5,0x0048c010,0x004712d0,0x004712fa,0x0054275d,36,0x24,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
game/effect.cpp,213,EffectInf,0x0049e0c4,0x0049e0c0,0x0049cc90,0x0049cc9e,0x0054275d,77892,0x13044,0x0049ce80,Exact immediate and call chain observed; semantic type/layout not proven
game/ending.cpp,128,EndingMsgInf,0x004a093b,0x004a0600,0x0049e980,0x0049e9ad,0x0054275d,240,0xf0,0x0040b280,Exact immediate and call chain observed; semantic type/layout not proven
game/ending.cpp,170,EndingInf,0x004a1014,0x004a1010,0x0049e930,0x0049e93b,0x0054275d,40,0x28,0x0049ec30,Exact immediate and call chain observed; semantic type/layout not proven
game/enemy.cpp,205,EclResourceInf,0x004a70b2,0x004a7080,0x004a2870,0x004a287e,0x0054275d,572,0x23c,0x004a2e40,Exact immediate and call chain observed; semantic type/layout not proven
