dll,name,iat_va,hint,ordinal
KERNEL32.dll,GetConsoleTitleW,0x0056c04c,552,
KERNEL32.dll,WaitForSingleObject,0x0056c050,1555,
KERNEL32.dll,CreateEventW,0x0056c054,216,
KERNEL32.dll,CreateThread,0x0056c058,271,
KERNEL32.dll,FindClose,0x0056c05c,406,
KERNEL32.dll,FindFirstFileW,0x0056c060,417,
KERNEL32.dll,FindNextFileW,0x0056c064,429,
KERNEL32.dll,GetCurrentDirectoryW,0x0056c068,563,
KERNEL32.dll,GetConsoleMode,0x0056c06c,542,
KERNEL32.dll,GetConsoleOutputCP,0x0056c070,546,
KERNEL32.dll,FlushFileBuffers,0x0056c074,449,
KERNEL32.dll,SetStdHandle,0x0056c078,1411,
KERNEL32.dll,HeapQueryInformation,0x0056c07c,888,
KERNEL32.dll,HeapSize,0x0056c080,891,
KERNEL32.dll,GetProcessHeap,0x0056c084,732,
KERNEL32.dll,SetEnvironmentVariableW,0x0056c088,1353,
KERNEL32.dll,FreeEnvironmentStringsW,0x0056c08c,460,
KERNEL32.dll,GetEnvironmentStringsW,0x0056c090,602,
KERNEL32.dll,GetCommandLineW,0x0056c094,505,
KERNEL32.dll,GetCommandLineA,0x0056c098,504,
KERNEL32.dll,GetOEMCP,0x0056c09c,702,
KERNEL32.dll,GetACP,0x0056c0a0,468,
KERNEL32.dll,GetUserDefaultLCID,0x0056c0a4,831,
KERNEL32.dll,HeapReAlloc,0x0056c0a8,889,
KERNEL32.dll,SetFilePointerEx,0x0056c0ac,1368,
KERNEL32.dll,ReadFile,0x0056c0b0,1188,
KERNEL32.dll,GetFileType,0x0056c0b4,626,
KERNEL32.dll,EnumSystemLocalesW,0x0056c0b8,373,
KERNEL32.dll,IsValidLocale,0x0056c0bc,956,
KERNEL32.dll,GetLocaleInfoW,0x0056c0c0,650,
KERNEL32.dll,LCMapStringW,0x0056c0c4,992,
KERNEL32.dll,CompareStringW,0x0056c0c8,178,
KERNEL32.dll,VirtualProtect,0x0056c0cc,1544,
KERNEL32.dll,FlsFree,0x0056c0d0,444,
KERNEL32.dll,FlsSetValue,0x0056c0d4,447,
KERNEL32.dll,FlsGetValue,0x0056c0d8,445,
KERNEL32.dll,FlsAlloc,0x0056c0dc,443,
KERNEL32.dll,HeapFree,0x0056c0e0,886,
KERNEL32.dll,HeapAlloc,0x0056c0e4,882,
KERNEL32.dll,GetStdHandle,0x0056c0e8,763,
KERNEL32.dll,ExitProcess,0x0056c0ec,383,
KERNEL32.dll,GetModuleHandleExW,0x0056c0f0,669,
KERNEL32.dll,FreeLibraryAndExitThread,0x0056c0f4,462,
KERNEL32.dll,ExitThread,0x0056c0f8,384,
KERNEL32.dll,LoadLibraryExW,0x0056c0fc,1010,
KERNEL32.dll,FreeLibrary,0x0056c100,461,
KERNEL32.dll,TlsFree,0x0056c104,1498,
KERNEL32.dll,WideCharToMultiByte,0x0056c108,1594,
KERNEL32.dll,GetModuleFileNameW,0x0056c10c,666,
KERNEL32.dll,GetStartupInfoW,0x0056c110,761,
KERNEL32.dll,CreateMutexW,0x0056c114,245,
KERNEL32.dll,QueryPerformanceFrequency,0x0056c118,1150,
KERNEL32.dll,QueryPerformanceCounter,0x0056c11c,1149,
KERNEL32.dll,GetEnvironmentVariableW,0x0056c120,604,
KERNEL32.dll,MultiByteToWideChar,0x0056c124,1055,
KERNEL32.dll,FormatMessageW,0x0056c128,457,
KERNEL32.dll,LocalFree,0x0056c12c,1022,
KERNEL32.dll,GetLastError,0x0056c130,646,
KERNEL32.dll,CloseHandle,0x0056c134,156,
