source_path,source_line,type_or_context,string_va,reference_va,candidate_function,instruction,raw_text
core/filectrl.cpp,50,u_char,0x0056c578,0x0041013e,0x004100e0,push 0x56c578,D:\cygwin\home\zun\prog\th20\src\core\filectrl.cpp:50 u_char
core/filectrl.cpp,131,u_char,0x0056c5b8,0x0041041e,0x004103c0,push 0x56c5b8,D:\cygwin\home\zun\prog\th20\src\core\filectrl.cpp:131 u_char
core/filectrl.cpp,496,void,0x0056c6d4,0x004109fb,0x00410990,push 0x56c6d4,D:\cygwin\home\zun\prog\th20\src\core\filectrl.cpp:496 void
core/func.cpp,317,funcChainInf,0x0056c728,0x004127b9,0x004127b0,push 0x56c728,D:\cygwin\home\zun\prog\th20\src\core\func.cpp:317 funcChainInf
core/grpfont.cpp,920,AflDIB,0x0056c860,0x004158ae,0x00415830,push 0x56c860,D:\cygwin\home\zun\prog\th20\src\core\grpfont.cpp:920 AflDIB
core/grpfont.cpp,615,u_char,0x0056c7e0,0x00416476,0x00416420,push 0x56c7e0,D:\cygwin\home\zun\prog\th20\src\core\grpfont.cpp:615 u_char
core/main.cpp,172,FuncCtrlInf,0x0056c9b4,0x0041e975,0x0041e7d0,push 0x56c9b4,D:\cygwin\home\zun\prog\th20\src\core\main.cpp:172 FuncCtrlInf
core/main.cpp,173,SprtCtrlInf,0x0056c9f4,0x0041e98a,0x0041e7d0,push 0x56c9f4,D:\cygwin\home\zun\prog\th20\src\core\main.cpp:173 SprtCtrlInf
core/pad.cpp,771,InputInf,0x0056d698,0x00422b04,0x00422b00,push 0x56d698,D:\cygwin\home\zun\prog\th20\src\core\pad.cpp:771 InputInf
core/screen.cpp,580,ScreenInf,0x0056d768,0x004250f4,0x004250f0,push 0x56d768,D:\cygwin\home\zun\prog\th20\src\core\screen.cpp:580 ScreenInf
core/sound.cpp,255,CSoundManager,0x0056dc48,0x00426439,0x004263e0,push 0x56dc48,D:\cygwin\home\zun\prog\th20\src\core\sound.cpp:255 CSoundManager
core/sound.cpp,653,char,0x0056de10,0x004275eb,0x00427360,push 0x56de10,D:\cygwin\home\zun\prog\th20\src\core\sound.cpp:653 char
core/sprtlib.cpp,905,SprtGroupTexInf,0x0056e270,0x0044a994,0x0044a700,push 0x56e270,D:\cygwin\home\zun\prog\th20\src\core\sprtlib.cpp:905 SprtGroupTexInf
core/sprtlib.cpp,906,SprtDataInf,0x0056e2b8,0x0044a9b4,0x0044a700,push 0x56e2b8,D:\cygwin\home\zun\prog\th20\src\core\sprtlib.cpp:906 SprtDataInf
core/sprtlib.cpp,907,int*,0x0056e2fc,0x0044a9d4,0x0044a700,push 0x56e2fc,D:\cygwin\home\zun\prog\th20\src\core\sprtlib.cpp:907 int*
core/sprtlib.cpp,929,SprtInf,0x0056e338,0x0044aaa8,0x0044a700,push 0x56e338,D:\cygwin\home\zun\prog\th20\src\core\sprtlib.cpp:929 SprtInf
core/sprtlib.cpp,2888,SprtInf,0x0056e5bc,0x0044caa3,0x0044c9b0,push 0x56e5bc,D:\cygwin\home\zun\prog\th20\src\core\sprtlib.cpp:2888 SprtInf
core/sprtlib.cpp,950,SprtGroupInf,0x0056e3b0,0x0044edb7,0x0044ed40,push 0x56e3b0,D:\cygwin\home\zun\prog\th20\src\core\sprtlib.cpp:950 SprtGroupInf
core/zwave.cpp,278,LPDIRECTSOUNDBUFFER,0x0056e910,0x00459547,0x00459530,push 0x56e910,D:\cygwin\home\zun\prog\th20\src\core\zwave.cpp:278 LPDIRECTSOUNDBUFFER
core/zwave.cpp,119,CWaveFile,0x0056e750,0x00459aac,0x00459a70,push 0x56e750,D:\cygwin\home\zun\prog\th20\src\core\zwave.cpp:119 CWaveFile
core/zwave.cpp,154,DSBPOSITIONNOTIFY,0x0056e790,0x00459bf1,0x00459a70,push 0x56e790,D:\cygwin\home\zun\prog\th20\src\core\zwave.cpp:154 DSBPOSITIONNOTIFY
core/zwave.cpp,173,CStreamingSound,0x0056e7d8,0x00459cff,0x00459a70,push 0x56e7d8,D:\cygwin\home\zun\prog\th20\src\core\zwave.cpp:173 CStreamingSound
core/zwave.cpp,209,CWaveFile,0x0056e838,0x00459db9,0x00459d70,push 0x56e838,D:\cygwin\home\zun\prog\th20\src\core\zwave.cpp:209 CWaveFile
core/zwave.cpp,237,DSBPOSITIONNOTIFY,0x0056e878,0x00459ece,0x00459d70,push 0x56e878,D:\cygwin\home\zun\prog\th20\src\core\zwave.cpp:237 DSBPOSITIONNOTIFY
core/zwave.cpp,256,CStreamingSound,0x0056e8c0,0x00459fdc,0x00459d70,push 0x56e8c0,D:\cygwin\home\zun\prog\th20\src\core\zwave.cpp:256 CStreamingSound
core/zwave.cpp,322,LPDIRECTSOUNDBUFFER,0x0056e958,0x0045b20a,0x0045b150,push 0x56e958,D:\cygwin\home\zun\prog\th20\src\core\zwave.cpp:322 LPDIRECTSOUNDBUFFER
core/zwave.cpp,336,DSBPOSITIONNOTIFY,0x0056e9a0,0x0045b2f0,0x0045b150,push 0x56e9a0,D:\cygwin\home\zun\prog\th20\src\core\zwave.cpp:336 DSBPOSITIONNOTIFY
effect/effchargepoint.cpp,40,EffectChargePointInf,0x0056ec30,0x0045d008,0x0045d000,push 0x56ec30,D:\cygwin\home\zun\prog\th20\src\effect\effchargepoint.cpp:40 EffectChargePointInf
effect/efffanspark.cpp,131,EffectFanSparkInf,0x0056ecc0,0x0045dc78,0x0045dc70,push 0x56ecc0,D:\cygwin\home\zun\prog\th20\src\effect\efffanspark.cpp:131 EffectFanSparkInf
effect/effline.cpp,154,EffectLineEffectInf,0x0056ed88,0x0045e528,0x0045e520,push 0x56ed88,D:\cygwin\home\zun\prog\th20\src\effect\effline.cpp:154 EffectLineEffectInf
effect/effline.cpp,70,EffectLineEffectInf,0x0056ed38,0x0045e558,0x0045e550,push 0x56ed38,D:\cygwin\home\zun\prog\th20\src\effect\effline.cpp:70 EffectLineEffectInf
effect/efflinespark.cpp,125,EffectLineSparkInf,0x0056edf8,0x0045ec78,0x0045ec70,push 0x56edf8,D:\cygwin\home\zun\prog\th20\src\effect\efflinespark.cpp:125 EffectLineSparkInf
effect/efflinespark2.cpp,135,EffectLineSpark2Inf,0x0056ee68,0x0045fd18,0x0045fd10,push 0x56ee68,D:\cygwin\home\zun\prog\th20\src\effect\efflinespark2.cpp:135 EffectLineSpark2Inf
effect/efflinestone.cpp,139,EffectLineStoneInf,0x0056eed8,0x00460808,0x00460800,push 0x56eed8,D:\cygwin\home\zun\prog\th20\src\effect\efflinestone.cpp:139 EffectLineStoneInf
effect/efflinestone2.cpp,145,EffectLineStone2Inf,0x0056ef48,0x00460f38,0x00460f30,push 0x56ef48,D:\cygwin\home\zun\prog\th20\src\effect\efflinestone2.cpp:145 EffectLineStone2Inf
effect/effmenuwindow.cpp,93,EffectMenuWindowInf,0x0056efb8,0x004613a8,0x004613a0,push 0x56efb8,D:\cygwin\home\zun\prog\th20\src\effect\effmenuwindow.cpp:93 EffectMenuWindowInf
effect/effpyramid.cpp,379,EffectPyramidInf,0x0056f038,0x00463288,0x00463280,push 0x56f038,D:\cygwin\home\zun\prog\th20\src\effect\effpyramid.cpp:379 EffectPyramidInf
effect/effscreenswitch.cpp,37,EffectScreenSwitchInf,0x0056f0b0,0x00465968,0x00465960,push 0x56f0b0,D:\cygwin\home\zun\prog\th20\src\effect\effscreenswitch.cpp:37 EffectScreenSwitchInf
effect/effshortline.cpp,60,EffectShortLineEffectInf,0x0056f138,0x00466278,0x00466270,push 0x56f138,D:\cygwin\home\zun\prog\th20\src\effect\effshortline.cpp:60 EffectShortLineEffectInf
effect/effshortline2.cpp,60,EffectShortLineEffect2Inf,0x0056f1b0,0x00466868,0x00466860,push 0x56f1b0,D:\cygwin\home\zun\prog\th20\src\effect\effshortline2.cpp:60 EffectShortLineEffect2Inf
effect/effshortline3.cpp,83,EffectShortLineEffect3Inf,0x0056f228,0x00466f88,0x00466f80,push 0x56f228,D:\cygwin\home\zun\prog\th20\src\effect\effshortline3.cpp:83 EffectShortLineEffect3Inf
