file_offset,va,encoding,text
0x00000218,0x00400218,ascii,.text
0x0000023f,0x0040023f,ascii,`.rdata
0x00000267,0x00400267,ascii,@.data
0x00000290,0x00400290,ascii,.fptable
0x000002b8,0x004002b8,ascii,.rsrc
0x000002df,0x004002df,ascii,@.reloc
0x0000bd52,0x0040c952,utf-16le,jjjjj
0x0000e06a,0x0040ec6a,utf-16le,jjjjj
0x0001d04d,0x0041dc4d,ascii,;QD}b
0x0001e007,0x0041ec07,ascii,?hLM\
0x0001e30b,0x0041ef0b,ascii,|)hLM\
0x0001fec0,0x00420ac0,ascii,PhxkW
0x000206e4,0x004212e4,utf-16le,jjjjjj
0x0002306e,0x00423c6e,ascii,Rh`BB
0x00023087,0x00423c87,ascii,Rh0OB
0x000230ca,0x00423cca,ascii,Rh0OB
0x000230ea,0x00423cea,ascii,Rh`BB
0x00023123,0x00423d23,ascii,RhPCB
0x00023175,0x00423d75,ascii,Rh0OB
0x000231e6,0x00423de6,ascii,Rh`DB
0x000231ff,0x00423dff,ascii,Rh0OB
0x00023e60,0x00424a60,ascii,J$+H 
0x00025e21,0x00426a21,ascii,PhplB
0x00027b76,0x00428776,ascii,PhplB
0x00034703,0x00435303,ascii," !""#$%"
0x0003474d,0x0043534d,ascii,"&'()*+,-./0123"
0x000347b1,0x004353b1,ascii,456789:;<=>?@ABCDEFG
0x00034815,0x00435415,ascii,HIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopq
0x00034879,0x00435479,ascii,rstuvwxyz{|
0x000398a7,0x0043a4a7,ascii,;E uE
0x00039994,0x0043a594,ascii,;M }<
0x00039c7c,0x0043a87c,ascii,;U uE
0x00039d69,0x0043a969,ascii,;E }<
0x0003a02d,0x0043ac2d,ascii,;U$uE
0x0003a11a,0x0043ad1a,ascii,;E$}<
0x0003a23a,0x0043ae3a,ascii,;U$uE
0x0003a327,0x0043af27,ascii,;E$}<
0x0004fbf4,0x004507f4,ascii,^@PkM
0x0004fc2c,0x0045082c,ascii,^@TkM
0x00055e2b,0x00456a2b,ascii,/E v<
0x00058fbd,0x00459bbd,ascii,Rh(lW
0x00059029,0x00459c29,ascii,;E$s&
0x0005929a,0x00459e9a,ascii,Rh(lW
0x000592cb,0x00459ecb,ascii,"M,Qhx"
0x00059306,0x00459f06,ascii,";E,s&"
0x0005a6c8,0x0045b2c8,ascii,Qh(lW
0x00072767,0x00473367,ascii,RhpHG
0x00072785,0x00473385,ascii,Rh`HG
0x000780a2,0x00478ca2,ascii,Qj3h$
0x0007811d,0x00478d1d,ascii,RjAh$
0x00082176,0x00482d76,ascii,P0;V4|
0x000825e7,0x004831e7,ascii,/@hvs
0x000827ff,0x004833ff,ascii,/BdvM
0x00082950,0x00483550,ascii,@0;F4|
0x00082bf2,0x004837f2,ascii,P8;V4|KQ
0x00095b28,0x00496728,ascii,"  !""##$$%&%&'(()"
0x00095b42,0x00496742,ascii,",,-.-./0/01"
0x00095b80,0x00496780,ascii,23456789:;<=>?@ABCDEFGHIJKLMHNOHHHPQRSTUVWXYZ[\]^_`abcdefghijklmnopqr
0x00095bc6,0x004967c6,ascii,stuvwx
0x00095be4,0x004967e4,ascii,yz{|}~
0x000a4ff3,0x004a5bf3,ascii,9ANIMt
0x000a517a,0x004a5d7a,ascii,:ECLIt
0x000a5ad8,0x004a66d8,ascii,/@LvK
0x000a5aea,0x004a66ea,ascii,/ALr%
0x000a91a1,0x004a9da1,ascii,9Ah|'
0x000a9281,0x004a9e81,ascii,9Ap|'
0x000a92e1,0x004a9ee1,ascii,9Ad|'
