from_va,to_va,kind,instruction,symbol
0x0040100a,0x0040c080,direct_call,call 0x40c080,
0x00401014,0x0040b760,direct_call,call 0x40b760,
0x00401019,0x0056b360,immediate,push 0x56b360,
0x0040101e,0x005429d9,direct_call,call 0x5429d9,
0x0040103a,0x0040c080,direct_call,call 0x40c080,
0x00401044,0x0040de30,direct_call,call 0x40de30,
0x00401049,0x0056b370,immediate,push 0x56b370,
0x0040104e,0x005429d9,direct_call,call 0x5429d9,
0x0040106a,0x0040c080,direct_call,call 0x40c080,
0x00401074,0x00414170,direct_call,call 0x414170,
0x00401079,0x0056b380,immediate,push 0x56b380,
0x0040107e,0x005429d9,direct_call,call 0x5429d9,
0x0040109d,0x0040c080,direct_call,call 0x40c080,
0x004010a7,0x00418ac0,direct_call,call 0x418ac0,
0x004010b3,0x0041f9b0,immediate,push 0x41f9b0,
0x004010c4,0x0040bc20,direct_call,call 0x40bc20,
0x004010d3,0x0041f9b0,immediate,push 0x41f9b0,
0x004010e4,0x0040bc20,direct_call,call 0x40bc20,
0x004010f8,0x0041fb10,direct_call,call 0x41fb10,
0x0040110a,0x00422c50,direct_call,call 0x422c50,
0x0040112a,0x00422c50,direct_call,call 0x422c50,
0x0040114a,0x00422c50,direct_call,call 0x422c50,
0x0040116a,0x00422c50,direct_call,call 0x422c50,
0x00401188,0x00422e40,direct_call,call 0x422e40,
0x0040119a,0x0040c080,direct_call,call 0x40c080,
0x004011a4,0x004233b0,direct_call,call 0x4233b0,
0x004011a9,0x0056b390,immediate,push 0x56b390,
0x004011ae,0x005429d9,direct_call,call 0x5429d9,
0x004011cd,0x0040c080,direct_call,call 0x40c080,
0x004011d7,0x00425d70,direct_call,call 0x425d70,
0x004011dc,0x0056b3a0,immediate,push 0x56b3a0,
0x004011e1,0x005429d9,direct_call,call 0x5429d9,
0x004011f3,0x0056b3b0,immediate,push 0x56b3b0,
0x004011f8,0x005429d9,direct_call,call 0x5429d9,
0x0040121a,0x0040c080,direct_call,call 0x40c080,
0x00401224,0x00452dd0,direct_call,call 0x452dd0,
0x00401229,0x0056b3c0,immediate,push 0x56b3c0,
0x0040122e,0x005429d9,direct_call,call 0x5429d9,
0x00401248,0x00452e00,direct_call,call 0x452e00,
0x00405703,0x00544760,direct_call,call 0x544760,
0x00405937,0x00544760,direct_call,call 0x544760,
0x00405b6b,0x00544760,direct_call,call 0x544760,
0x00405d9f,0x00544760,direct_call,call 0x544760,
0x00405fd3,0x00544760,direct_call,call 0x544760,
0x00406207,0x00544760,direct_call,call 0x544760,
0x0040643b,0x00544760,direct_call,call 0x544760,
0x0040666f,0x00544760,direct_call,call 0x544760,
0x004074c0,0x00544760,direct_call,call 0x544760,
0x004076f3,0x00544760,direct_call,call 0x544760,
0x00407926,0x00544760,direct_call,call 0x544760,
0x00407a6b,0x00544760,direct_call,call 0x544760,
0x00407c9f,0x00544760,direct_call,call 0x544760,
0x00409e3f,0x00544760,direct_call,call 0x544760,
0x0040a073,0x00544760,direct_call,call 0x544760,
0x0040a2a7,0x00544760,direct_call,call 0x544760,
0x0040a3c5,0x00544760,direct_call,call 0x544760,
0x0040a4e3,0x00544760,direct_call,call 0x544760,
0x0040a717,0x00544760,direct_call,call 0x544760,
0x0040a94b,0x00544760,direct_call,call 0x544760,
0x0040a99a,0x0040c080,direct_call,call 0x40c080,
0x0040a9a4,0x004a2db0,direct_call,call 0x4a2db0,
0x0040a9a9,0x0056b3d0,immediate,push 0x56b3d0,
0x0040a9ae,0x005429d9,direct_call,call 0x5429d9,
0x0040a9ca,0x0040c080,direct_call,call 0x40c080,
0x0040a9d4,0x0040b780,direct_call,call 0x40b780,
0x0040a9d9,0x0056b3e0,immediate,push 0x56b3e0,
0x0040a9de,0x005429d9,direct_call,call 0x5429d9,
0x0040aa1d,0x0040c080,direct_call,call 0x40c080,
0x0040aa27,0x004d8990,direct_call,call 0x4d8990,
0x0040aa2c,0x0056b3f0,immediate,push 0x56b3f0,
0x0040aa31,0x005429d9,direct_call,call 0x5429d9,
0x0040aa45,0x0056a02f,immediate,push 0x56a02f,
0x0040aa62,0x00571ed4,immediate:string,push 0x571ed4,no notice
0x0040aa6c,0x0046a830,direct_call,call 0x46a830,
0x0040aa78,0x00571ed4,immediate:string,push 0x571ed4,no notice
0x0040aa82,0x0046a830,direct_call,call 0x46a830,
0x0040aa95,0x0046a830,direct_call,call 0x46a830,
0x0040aaa8,0x0046a830,direct_call,call 0x46a830,
0x0040aabb,0x0046a830,direct_call,call 0x46a830,
0x0040aace,0x0046a830,direct_call,call 0x46a830,
0x0040aae1,0x0046a830,direct_call,call 0x46a830,
0x0040aaf4,0x0046a830,direct_call,call 0x46a830,
0x0040ab07,0x0046a830,direct_call,call 0x46a830,
0x0040ab1a,0x0046a830,direct_call,call 0x46a830,
0x0040ab2d,0x0046a830,direct_call,call 0x46a830,
0x0040ab40,0x0046a830,direct_call,call 0x46a830,
0x0040ab53,0x0046a830,direct_call,call 0x46a830,
0x0040ab66,0x0046a830,direct_call,call 0x46a830,
0x0040ab79,0x0046a830,direct_call,call 0x46a830,
0x0040ab8c,0x0046a830,direct_call,call 0x46a830,
0x0040ab9f,0x0046a830,direct_call,call 0x46a830,
0x0040abb2,0x0046a830,direct_call,call 0x46a830,
0x0040abc5,0x0046a830,direct_call,call 0x46a830,
0x0040abd8,0x0046a830,direct_call,call 0x46a830,
0x0040abeb,0x0046a830,direct_call,call 0x46a830,
0x0040abfe,0x0046a830,direct_call,call 0x46a830,
0x0040ac11,0x0046a830,direct_call,call 0x46a830,
0x0040ac24,0x0046a830,direct_call,call 0x46a830,
0x0040ac37,0x0046a830,direct_call,call 0x46a830,
0x0040ac4a,0x0046a830,direct_call,call 0x46a830,
0x0040ac5d,0x0046a830,direct_call,call 0x46a830,
0x0040ac70,0x0046a830,direct_call,call 0x46a830,
0x0040ac83,0x0046a830,direct_call,call 0x46a830,
0x0040ac96,0x0046a830,direct_call,call 0x46a830,
0x0040aca9,0x0046a830,direct_call,call 0x46a830,
0x0040acbc,0x0046a830,direct_call,call 0x46a830,
0x0040accf,0x0046a830,direct_call,call 0x46a830,
0x0040ace2,0x0046a830,direct_call,call 0x46a830,
0x0040acf5,0x0046a830,direct_call,call 0x46a830,
0x0040ad08,0x0046a830,direct_call,call 0x46a830,
0x0040ad1b,0x0046a830,direct_call,call 0x46a830,
0x0040ad2e,0x0046a830,direct_call,call 0x46a830,
0x0040ad41,0x0046a830,direct_call,call 0x46a830,
0x0040ad54,0x0046a830,direct_call,call 0x46a830,
0x0040ad67,0x0046a830,direct_call,call 0x46a830,
0x0040ad7a,0x0046a830,direct_call,call 0x46a830,
0x0040ad8d,0x0046a830,direct_call,call 0x46a830,
0x0040ada0,0x0046a830,direct_call,call 0x46a830,
0x0040adb3,0x0046a830,direct_call,call 0x46a830,
0x0040adc6,0x0046a830,direct_call,call 0x46a830,
0x0040add9,0x0046a830,direct_call,call 0x46a830,
0x0040adec,0x0046a830,direct_call,call 0x46a830,
0x0040adff,0x0046a830,direct_call,call 0x46a830,
0x0040ae12,0x0046a830,direct_call,call 0x46a830,
0x0040ae1e,0x0056b400,immediate,push 0x56b400,
0x0040ae23,0x005429d9,direct_call,call 0x5429d9,
0x0040ae48,0x00425cc0,direct_call,call 0x425cc0,
0x0040ae58,0x004616e0,direct_call,call 0x4616e0,
0x0040ae68,0x004616e0,direct_call,call 0x4616e0,
0x0040ae78,0x004616e0,direct_call,call 0x4616e0,
0x0040ae88,0x004616e0,direct_call,call 0x4616e0,
0x0040ae93,0x00539d60,immediate,push 0x539d60,
0x0040ae98,0x0040de30,immediate,push 0x40de30,
0x0040aea6,0x00542eaf,direct_call,call 0x542eaf,
0x0040aeab,0x0056b430,immediate,push 0x56b430,
0x0040aeb0,0x005429d9,direct_call,call 0x5429d9,
0x0040aebf,0x00541927,direct_call,call 0x541927,
0x0040aec4,0x0056b449,immediate,push 0x56b449,
0x0040aec9,0x005429d9,direct_call,call 0x5429d9,
