function_entry,range_start,range_end_inclusive
"0x00401000","0x00401000","0x00401027"
"0x00401030","0x00401030","0x00401057"
"0x00401060","0x00401060","0x00401087"
"0x00401090","0x00401090","0x004010ae"
"0x004010b0","0x004010b0","0x004010cb"
"0x004010d0","0x004010d0","0x004010eb"
"0x004010f0","0x004010f0","0x004010ff"
"0x00401100","0x00401100","0x00401111"
"0x00401120","0x00401120","0x00401131"
"0x00401140","0x00401140","0x00401151"
"0x00401160","0x00401160","0x00401171"
"0x00401180","0x00401180","0x0040118f"
"0x00401190","0x00401190","0x004011b7"
"0x004011c0","0x004011c0","0x004011ea"
"0x004011f0","0x004011f0","0x00401201"
"0x00401210","0x00401210","0x00401237"
"0x00401240","0x00401240","0x0040124f"
"0x00401280","0x00401280","0x0040a98c"
"0x0040a990","0x0040a990","0x0040a9b7"
"0x0040a9c0","0x0040a9c0","0x0040a9e7"
"0x0040a9f0","0x0040a9f0","0x0040aa0c"
"0x0040aa10","0x0040aa10","0x0040aa3a"
"0x0040aa40","0x0040aa40","0x0040ae39"
"0x0040ae40","0x0040ae40","0x0040ae4f"
"0x0040ae50","0x0040ae50","0x0040ae5f"
"0x0040ae60","0x0040ae60","0x0040ae6f"
"0x0040ae70","0x0040ae70","0x0040ae7f"
"0x0040ae80","0x0040ae80","0x0040ae8f"
"0x0040ae90","0x0040ae90","0x0040aeb9"
"0x0040af10","0x0040af10","0x0040af30"
"0x0040af40","0x0040af40","0x0040afbc"
"0x0040afd0","0x0040afd0","0x0040b065"
"0x0040b070","0x0040b070","0x0040b092"
"0x0040b0a0","0x0040b0a0","0x0040b0c2"
"0x0040b0d0","0x0040b0d0","0x0040b0e4"
"0x0040b0f0","0x0040b0f0","0x0040b119"
"0x0040b120","0x0040b120","0x0040b12f"
"0x0040b130","0x0040b130","0x0040b187"
"0x0040b190","0x0040b190","0x0040b1cb"
"0x0040b1d0","0x0040b1d0","0x0040b27f"
"0x0040b280","0x0040b280","0x0040b287"
"0x0040b290","0x0040b290","0x0040b29a"
"0x0040b2a0","0x0040b2a0","0x0040b2a9"
"0x0040b2b0","0x0040b2b0","0x0040b304"
"0x0040b310","0x0040b310","0x0040b3cb"
"0x0040b3e0","0x0040b3e0","0x0040b4cb"
"0x0040b4d0","0x0040b4d0","0x0040b4ec"
"0x0040b4f0","0x0040b4f0","0x0040b51d"
"0x0040b520","0x0040b520","0x0040b52a"
"0x0040b530","0x0040b530","0x0040b54b"
"0x0040b550","0x0040b550","0x0040b5c5"
"0x0040b5d0","0x0040b5d0","0x0040b624"
"0x0040b630","0x0040b630","0x0040b64c"
"0x0040b650","0x0040b650","0x0040b66c"
"0x0040b670","0x0040b670","0x0040b689"
"0x0040b690","0x0040b690","0x0040b6a9"
"0x0040b6b0","0x0040b6b0","0x0040b6c6"
"0x0040b6d0","0x0040b6d0","0x0040b6ec"
"0x0040b6f0","0x0040b6f0","0x0040b70c"
"0x0040b710","0x0040b710","0x0040b72c"
"0x0040b730","0x0040b730","0x0040b752"
"0x0040b760","0x0040b760","0x0040b776"
"0x0040b780","0x0040b780","0x0040b7ab"
"0x0040b7b0","0x0040b7b0","0x0040b80a"
"0x0040b810","0x0040b810","0x0040b841"
"0x0040b850","0x0040b850","0x0040b87d"
"0x0040b880","0x0040b880","0x0040b898"
"0x0040b8a0","0x0040b8a0","0x0040b8de"
"0x0040b8e0","0x0040b8e0","0x0040b8f7"
"0x0040b900","0x0040b900","0x0040b915"
"0x0040b920","0x0040b920","0x0040b954"
"0x0040b960","0x0040b960","0x0040b973"
"0x0040b980","0x0040b980","0x0040b9c6"
"0x0040b9d0","0x0040b9d0","0x0040b9f7"
"0x0040ba00","0x0040ba00","0x0040ba7d"
"0x0040ba80","0x0040ba80","0x0040ba9f"
"0x0040baa0","0x0040baa0","0x0040babd"
"0x0040bac0","0x0040bac0","0x0040bb1d"
"0x0040bb20","0x0040bb20","0x0040bb5e"
"0x0040bb60","0x0040bb60","0x0040bbb2"
"0x0040bbc0","0x0040bbc0","0x0040bbd3"
"0x0040bbe0","0x0040bbe0","0x0040bc1e"
"0x0040bc20","0x0040bc20","0x0040bc57"
"0x0040bc60","0x0040bc60","0x0040bce7"
"0x0040bcf0","0x0040bcf0","0x0040bd85"
"0x0040bd90","0x0040bd90","0x0040bd9d"
"0x0040bda0","0x0040bda0","0x0040bdad"
"0x0040bdb0","0x0040bdb0","0x0040be7b"
"0x0040bdb0","0x0040be7d","0x0040be8f"
"0x0040be90","0x0040be90","0x0040be99"
"0x0040bea0","0x0040bea0","0x0040bfaa"
"0x0040bfb0","0x0040bfb0","0x0040bfe9"
"0x0040bff0","0x0040bff0","0x0040c047"
