function_entry,pseudocode_file,warning_count,contains_bad_or_unimplemented_data_marker,warning_lines
0x00401280,pseudocode/00401280.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x0040a9f0,pseudocode/0040a9f0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x0040b3e0,pseudocode/0040b3e0.c,1,False,/* WARNING: Load size is inaccurate */
0x0040b730,pseudocode/0040b730.c,1,False,/* WARNING: Load size is inaccurate */
0x0040bdb0,pseudocode/0040bdb0.c,1,False,/* WARNING: Subroutine does not return */
0x0040c920,pseudocode/0040c920.c,1,False,/* WARNING: Subroutine does not return */
0x0040d100,pseudocode/0040d100.c,1,False,/* WARNING: Load size is inaccurate */
0x0040d240,pseudocode/0040d240.c,1,False,/* WARNING: Load size is inaccurate */
0x0040d370,pseudocode/0040d370.c,1,False,/* WARNING: Load size is inaccurate */
0x0040d4b0,pseudocode/0040d4b0.c,1,False,/* WARNING: Load size is inaccurate */
0x0040d5e0,pseudocode/0040d5e0.c,1,False,/* WARNING: Load size is inaccurate */
0x0040ec20,pseudocode/0040ec20.c,1,False,/* WARNING: Subroutine does not return */
0x004105d0,pseudocode/004105d0.c,1,False,/* WARNING: Load size is inaccurate */
0x004119b0,pseudocode/004119b0.c,2,False,/* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */
0x00411bb0,pseudocode/00411bb0.c,2,False,/* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */
0x00412400,pseudocode/00412400.c,1,False,/* WARNING: Load size is inaccurate */
0x00413000,pseudocode/00413000.c,1,False,/* WARNING: Load size is inaccurate */
0x004130a0,pseudocode/004130a0.c,1,False,/* WARNING: Load size is inaccurate */
0x004130e0,pseudocode/004130e0.c,1,False,/* WARNING: Load size is inaccurate */
0x00414ff0,pseudocode/00414ff0.c,1,False,/* WARNING: Load size is inaccurate */
0x00415030,pseudocode/00415030.c,1,False,/* WARNING: Load size is inaccurate */
0x00415070,pseudocode/00415070.c,1,False,/* WARNING: Load size is inaccurate */
0x00415460,pseudocode/00415460.c,1,False,/* WARNING: Load size is inaccurate */
0x004154c0,pseudocode/004154c0.c,1,False,/* WARNING: Load size is inaccurate */
0x00415520,pseudocode/00415520.c,1,False,/* WARNING: Load size is inaccurate */
0x00415830,pseudocode/00415830.c,5,False,"/* WARNING: Removing unreachable block (ram,0x00415e89) */ | /* WARNING: Removing unreachable block (ram,0x00415da1) */ | /* WARNING: Globals starting with '_' overlap smaller symbols at the same address */ | /* WARNING: Ignoring partial resolution of indirect */ | /* WARNING: Ignoring partial resolution of indirect */"
0x00416cf0,pseudocode/00416cf0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x004182a0,pseudocode/004182a0.c,1,False,/* WARNING: Load size is inaccurate */
0x00418380,pseudocode/00418380.c,1,False,/* WARNING: Load size is inaccurate */
0x004184b0,pseudocode/004184b0.c,1,False,/* WARNING: Load size is inaccurate */
0x004193e0,pseudocode/004193e0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x004199a0,pseudocode/004199a0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00419a50,pseudocode/00419a50.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00419c20,pseudocode/00419c20.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00419de0,pseudocode/00419de0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x0041a030,pseudocode/0041a030.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x0041b4f0,pseudocode/0041b4f0.c,1,False,/* WARNING: Function: __alloca_probe replaced with injection: alloca_probe */
0x0041c3e0,pseudocode/0041c3e0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x0041cb10,pseudocode/0041cb10.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x0041ccf0,pseudocode/0041ccf0.c,10,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */
0x0041d350,pseudocode/0041d350.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x0041e7d0,pseudocode/0041e7d0.c,2,False,/* WARNING: Function: __alloca_probe replaced with injection: alloca_probe */ | /* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00421180,pseudocode/00421180.c,1,False,/* WARNING: Type propagation algorithm not settling */
0x004219d0,pseudocode/004219d0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00424350,pseudocode/00424350.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x004244c0,pseudocode/004244c0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x004249f0,pseudocode/004249f0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00425190,pseudocode/00425190.c,1,False,/* WARNING: Load size is inaccurate */
0x00426890,pseudocode/00426890.c,1,False,/* WARNING: Load size is inaccurate */
0x00426ef0,pseudocode/00426ef0.c,13,False,/* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */
0x004286b0,pseudocode/004286b0.c,1,False,/* WARNING: Load size is inaccurate */
0x00428de0,pseudocode/00428de0.c,1,False,/* WARNING: Load size is inaccurate */
0x00428e80,pseudocode/00428e80.c,1,False,/* WARNING: Load size is inaccurate */
0x00429060,pseudocode/00429060.c,2,False,/* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */
0x004292f0,pseudocode/004292f0.c,1,False,/* WARNING: Load size is inaccurate */
0x00429340,pseudocode/00429340.c,1,False,/* WARNING: Load size is inaccurate */
0x00429390,pseudocode/00429390.c,1,False,/* WARNING: Load size is inaccurate */
0x004293c0,pseudocode/004293c0.c,1,False,/* WARNING: Load size is inaccurate */
0x00429440,pseudocode/00429440.c,1,False,/* WARNING: Load size is inaccurate */
0x004294a0,pseudocode/004294a0.c,1,False,/* WARNING: Load size is inaccurate */
0x004294e0,pseudocode/004294e0.c,1,False,/* WARNING: Load size is inaccurate */
0x00429520,pseudocode/00429520.c,1,False,/* WARNING: Load size is inaccurate */
0x00429570,pseudocode/00429570.c,1,False,/* WARNING: Load size is inaccurate */
0x004295d0,pseudocode/004295d0.c,1,False,/* WARNING: Load size is inaccurate */
0x00429610,pseudocode/00429610.c,1,False,/* WARNING: Load size is inaccurate */
0x00429640,pseudocode/00429640.c,1,False,/* WARNING: Load size is inaccurate */
0x00429690,pseudocode/00429690.c,1,False,/* WARNING: Load size is inaccurate */
0x004296e0,pseudocode/004296e0.c,1,False,/* WARNING: Load size is inaccurate */
0x00429740,pseudocode/00429740.c,1,False,/* WARNING: Load size is inaccurate */
0x0042a3a0,pseudocode/0042a3a0.c,1,False,/* WARNING: Load size is inaccurate */
0x0042a980,pseudocode/0042a980.c,1,False,/* WARNING: Load size is inaccurate */
0x0042ad80,pseudocode/0042ad80.c,1,False,/* WARNING: Load size is inaccurate */
0x0042b1f0,pseudocode/0042b1f0.c,1,False,/* WARNING: Load size is inaccurate */
0x0042b5d0,pseudocode/0042b5d0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00435520,pseudocode/00435520.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00435c80,pseudocode/00435c80.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x004383a0,pseudocode/004383a0.c,2,False,/* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */
0x00438940,pseudocode/00438940.c,2,False,/* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */
0x00439910,pseudocode/00439910.c,2,False,/* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */
0x00439960,pseudocode/00439960.c,2,False,/* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */
0x00439a00,pseudocode/00439a00.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x0043b0e0,pseudocode/0043b0e0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x0043cd40,pseudocode/0043cd40.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x0043e2c0,pseudocode/0043e2c0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00441430,pseudocode/00441430.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00441f00,pseudocode/00441f00.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00443020,pseudocode/00443020.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00445680,pseudocode/00445680.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00446690,pseudocode/00446690.c,1,False,/* WARNING: Load size is inaccurate */
0x00446f50,pseudocode/00446f50.c,1,False,"/* WARNING: Removing unreachable block (ram,0x00446f76) */"
0x004493e0,pseudocode/004493e0.c,1,False,/* WARNING: Load size is inaccurate */
0x00449400,pseudocode/00449400.c,1,False,/* WARNING: Load size is inaccurate */
0x00449430,pseudocode/00449430.c,1,False,/* WARNING: Load size is inaccurate */
0x00449460,pseudocode/00449460.c,1,False,/* WARNING: Load size is inaccurate */
0x004495a0,pseudocode/004495a0.c,1,False,/* WARNING: Load size is inaccurate */
0x0044b930,pseudocode/0044b930.c,1,False,/* WARNING: Load size is inaccurate */
0x0044c1e0,pseudocode/0044c1e0.c,1,False,/* WARNING: Load size is inaccurate */
0x0044cf50,pseudocode/0044cf50.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x0044d000,pseudocode/0044d000.c,1,False,/* WARNING: Load size is inaccurate */
0x0044dfb0,pseudocode/0044dfb0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x0044ef90,pseudocode/0044ef90.c,1,False,/* WARNING: Load size is inaccurate */
0x0044f0d0,pseudocode/0044f0d0.c,1,False,/* WARNING: Load size is inaccurate */
0x004502c0,pseudocode/004502c0.c,1,False,/* WARNING: Load size is inaccurate */
0x00450560,pseudocode/00450560.c,1,False,/* WARNING: Load size is inaccurate */
0x00450630,pseudocode/00450630.c,1,False,/* WARNING: Load size is inaccurate */
0x004506b0,pseudocode/004506b0.c,1,False,/* WARNING: Load size is inaccurate */
0x00450cb0,pseudocode/00450cb0.c,1,False,"/* WARNING: Removing unreachable block (ram,0x00450ee4) */"
0x00452f80,pseudocode/00452f80.c,1,False,/* WARNING: Load size is inaccurate */
0x00452fc0,pseudocode/00452fc0.c,1,False,/* WARNING: Load size is inaccurate */
0x00452ff0,pseudocode/00452ff0.c,1,False,/* WARNING: Load size is inaccurate */
0x004530c0,pseudocode/004530c0.c,1,False,/* WARNING: Load size is inaccurate */
0x004530f0,pseudocode/004530f0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00453220,pseudocode/00453220.c,1,False,/* WARNING: Function: __alloca_probe replaced with injection: alloca_probe */
0x004533b0,pseudocode/004533b0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00453e40,pseudocode/00453e40.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00454480,pseudocode/00454480.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x004547e0,pseudocode/004547e0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00454d80,pseudocode/00454d80.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00454ef0,pseudocode/00454ef0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x004562e0,pseudocode/004562e0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00456920,pseudocode/00456920.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00457040,pseudocode/00457040.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00457610,pseudocode/00457610.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x004578b0,pseudocode/004578b0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00457c10,pseudocode/00457c10.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x004580c0,pseudocode/004580c0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00458670,pseudocode/00458670.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00458b60,pseudocode/00458b60.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00458e90,pseudocode/00458e90.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x00459a70,pseudocode/00459a70.c,3,False,/* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */
0x00459d70,pseudocode/00459d70.c,3,False,/* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */
0x0045aaa0,pseudocode/0045aaa0.c,5,False,/* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */
0x0045b850,pseudocode/0045b850.c,4,False,"/* WARNING: Removing unreachable block (ram,0x0045b8eb) */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */ | /* WARNING: Load size is inaccurate */"
0x0045bd10,pseudocode/0045bd10.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x0045beb0,pseudocode/0045beb0.c,1,False,/* WARNING: Load size is inaccurate */
0x0045e800,pseudocode/0045e800.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x0045f4c0,pseudocode/0045f4c0.c,1,False,/* WARNING: Load size is inaccurate */
0x0045f4f0,pseudocode/0045f4f0.c,1,False,/* WARNING: Load size is inaccurate */
0x0045f520,pseudocode/0045f520.c,1,False,/* WARNING: Load size is inaccurate */
0x0045f540,pseudocode/0045f540.c,1,False,/* WARNING: Load size is inaccurate */
0x0045f670,pseudocode/0045f670.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
0x0045fe60,pseudocode/0045fe60.c,1,False,/* WARNING: Load size is inaccurate */
0x0045fe90,pseudocode/0045fe90.c,1,False,/* WARNING: Load size is inaccurate */
0x0045ff40,pseudocode/0045ff40.c,1,False,/* WARNING: Load size is inaccurate */
0x0045ff70,pseudocode/0045ff70.c,1,False,/* WARNING: Load size is inaccurate */
0x004618c0,pseudocode/004618c0.c,1,False,/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */
