source_path,source_line,type_or_context,string_va,reference_va,function_entry,function_name,body_bytes,pseudocode_file
core/filectrl.cpp,50,u_char,0x0056c578,0x0041013e,0x004100e0,FUN_004100e0,446,pseudocode/004100e0.c
core/filectrl.cpp,131,u_char,0x0056c5b8,0x0041041e,0x004103c0,FUN_004103c0,446,pseudocode/004103c0.c
core/filectrl.cpp,496,void,0x0056c6d4,0x004109fb,0x00410990,FUN_00410990,266,pseudocode/00410990.c
core/func.cpp,317,funcChainInf,0x0056c728,0x004127b9,0x004127b0,FUN_004127b0,57,pseudocode/004127b0.c
core/grpfont.cpp,615,u_char,0x0056c7e0,0x00416476,0x00416420,FUN_00416420,2245,pseudocode/00416420.c
core/grpfont.cpp,920,AflDIB,0x0056c860,0x004158ae,0x00415830,FUN_00415830,2227,pseudocode/00415830.c
core/main.cpp,172,FuncCtrlInf,0x0056c9b4,0x0041e975,0x0041e7d0,FUN_0041e7d0,2535,pseudocode/0041e7d0.c
core/main.cpp,173,SprtCtrlInf,0x0056c9f4,0x0041e98a,0x0041e7d0,FUN_0041e7d0,2535,pseudocode/0041e7d0.c
core/pad.cpp,771,InputInf,0x0056d698,0x00422b04,0x00422b00,FUN_00422b00,94,pseudocode/00422b00.c
core/screen.cpp,580,ScreenInf,0x0056d768,0x004250f4,0x004250f0,FUN_004250f0,81,pseudocode/004250f0.c
core/sound.cpp,255,CSoundManager,0x0056dc48,0x00426439,0x004263e0,FUN_004263e0,890,pseudocode/004263e0.c
core/sound.cpp,653,char,0x0056de10,0x004275eb,0x00427360,FUN_00427360,1146,pseudocode/00427360.c
core/sprtlib.cpp,905,SprtGroupTexInf,0x0056e270,0x0044a994,0x0044a700,FUN_0044a700,1022,pseudocode/0044a700.c
core/sprtlib.cpp,906,SprtDataInf,0x0056e2b8,0x0044a9b4,0x0044a700,FUN_0044a700,1022,pseudocode/0044a700.c
core/sprtlib.cpp,907,int*,0x0056e2fc,0x0044a9d4,0x0044a700,FUN_0044a700,1022,pseudocode/0044a700.c
core/sprtlib.cpp,929,SprtInf,0x0056e338,0x0044aaa8,0x0044a700,FUN_0044a700,1022,pseudocode/0044a700.c
core/sprtlib.cpp,950,SprtGroupInf,0x0056e3b0,0x0044edb7,0x0044ed40,FUN_0044ed40,269,pseudocode/0044ed40.c
core/sprtlib.cpp,2888,SprtInf,0x0056e5bc,0x0044caa3,0x0044c9b0,FUN_0044c9b0,296,pseudocode/0044c9b0.c
core/zwave.cpp,119,CWaveFile,0x0056e750,0x00459aac,0x00459a70,FUN_00459a70,757,pseudocode/00459a70.c
core/zwave.cpp,154,DSBPOSITIONNOTIFY,0x0056e790,0x00459bf1,0x00459a70,FUN_00459a70,757,pseudocode/00459a70.c
core/zwave.cpp,173,CStreamingSound,0x0056e7d8,0x00459cff,0x00459a70,FUN_00459a70,757,pseudocode/00459a70.c
core/zwave.cpp,209,CWaveFile,0x0056e838,0x00459db9,0x00459d70,FUN_00459d70,735,pseudocode/00459d70.c
core/zwave.cpp,237,DSBPOSITIONNOTIFY,0x0056e878,0x00459ece,0x00459d70,FUN_00459d70,735,pseudocode/00459d70.c
core/zwave.cpp,256,CStreamingSound,0x0056e8c0,0x00459fdc,0x00459d70,FUN_00459d70,735,pseudocode/00459d70.c
core/zwave.cpp,278,LPDIRECTSOUNDBUFFER,0x0056e910,0x00459547,0x00459530,FUN_00459530,255,pseudocode/00459530.c
core/zwave.cpp,322,LPDIRECTSOUNDBUFFER,0x0056e958,0x0045b20a,0x0045b150,FUN_0045b150,701,pseudocode/0045b150.c
core/zwave.cpp,336,DSBPOSITIONNOTIFY,0x0056e9a0,0x0045b2f0,0x0045b150,FUN_0045b150,701,pseudocode/0045b150.c
effect/effchargepoint.cpp,40,EffectChargePointInf,0x0056ec30,0x0045d008,0x0045d000,FUN_0045d000,47,pseudocode/0045d000.c
effect/efffanspark.cpp,131,EffectFanSparkInf,0x0056ecc0,0x0045dc78,0x0045dc70,FUN_0045dc70,47,pseudocode/0045dc70.c
effect/effline.cpp,70,EffectLineEffectInf,0x0056ed38,0x0045e558,0x0045e550,FUN_0045e550,49,pseudocode/0045e550.c
effect/effline.cpp,154,EffectLineEffectInf,0x0056ed88,0x0045e528,0x0045e520,FUN_0045e520,47,pseudocode/0045e520.c
effect/efflinespark.cpp,125,EffectLineSparkInf,0x0056edf8,0x0045ec78,0x0045ec70,FUN_0045ec70,47,pseudocode/0045ec70.c
effect/efflinespark2.cpp,135,EffectLineSpark2Inf,0x0056ee68,0x0045fd18,0x0045fd10,FUN_0045fd10,47,pseudocode/0045fd10.c
effect/efflinestone.cpp,139,EffectLineStoneInf,0x0056eed8,0x00460808,0x00460800,FUN_00460800,47,pseudocode/00460800.c
effect/efflinestone2.cpp,145,EffectLineStone2Inf,0x0056ef48,0x00460f38,0x00460f30,FUN_00460f30,47,pseudocode/00460f30.c
effect/effmenuwindow.cpp,93,EffectMenuWindowInf,0x0056efb8,0x004613a8,0x004613a0,FUN_004613a0,47,pseudocode/004613a0.c
effect/effpyramid.cpp,379,EffectPyramidInf,0x0056f038,0x00463288,0x00463280,FUN_00463280,47,pseudocode/00463280.c
effect/effscreenswitch.cpp,37,EffectScreenSwitchInf,0x0056f0b0,0x00465968,0x00465960,FUN_00465960,57,pseudocode/00465960.c
effect/effshortline.cpp,60,EffectShortLineEffectInf,0x0056f138,0x00466278,0x00466270,FUN_00466270,47,pseudocode/00466270.c
effect/effshortline2.cpp,60,EffectShortLineEffect2Inf,0x0056f1b0,0x00466868,0x00466860,FUN_00466860,47,pseudocode/00466860.c
effect/effshortline3.cpp,83,EffectShortLineEffect3Inf,0x0056f228,0x00466f88,0x00466f80,FUN_00466f80,47,pseudocode/00466f80.c
effect/effstonegaugeline.cpp,130,EffectStoneGaugeLineInf,0x0056f2a0,0x00467c28,0x00467c20,FUN_00467c20,47,pseudocode/00467c20.c
game/ascii.cpp,111,AsciiInf,0x0056f63c,0x00471064,0x00471060,FUN_00471060,86,pseudocode/00471060.c
game/ascii.cpp,1118,JapaneseStrInf,0x0056f6d0,0x0046c43d,0x0046c210,FUN_0046c210,1823,pseudocode/0046c210.c
game/ascii.cpp,1139,JapaneseStrInf,0x0056f718,0x0046c5a2,0x0046c210,FUN_0046c210,1823,pseudocode/0046c210.c
game/background.cpp,136,BackGroundInf,0x0056f888,0x00477884,0x00477880,FUN_00477880,94,pseudocode/00477880.c
game/background.cpp,601,StageFileHeaderInf,0x0056f8d0,0x00474ec3,0x00474e70,FUN_00474e70,555,pseudocode/00474e70.c
game/background.cpp,1029,RenderMeshInf,0x0056f990,0x00475fb2,0x004751b0,FUN_004751b0,8557,pseudocode/004751b0.c
game/background.cpp,1031,RenderMeshInf,0x0056f9d8,0x00475fdb,0x004751b0,FUN_004751b0,8557,pseudocode/004751b0.c
game/bomb.cpp,87,BombInf,0x0056facc,0x00478306,0x00478300,FUN_00478300,121,pseudocode/00478300.c
game/bomb_marisaa.cpp,172,BombMarisaAInf,0x0056fb30,0x00479123,0x00479120,FUN_00479120,21,pseudocode/00479120.c
game/bomb_reimua.cpp,295,BombReimuAInf,0x0056fbb0,0x0047a613,0x0047a610,FUN_0047a610,21,pseudocode/0047a610.c
game/bullet.cpp,666,BulletInf,0x0056fcd4,0x00486634,0x00486630,FUN_00486630,90,pseudocode/00486630.c
game/card.cpp,641,CardInf,0x0056fdbc,0x00488b24,0x00488b20,FUN_00488b20,90,pseudocode/00488b20.c
game/ecl.cpp,2387,EnemyDataInf::BossRenderInf,0x0056fee8,0x00495ac2,,,,
game/ecl.cpp,2395,RenderMeshInf,0x0056ff38,0x00495bc5,,,,
game/effect.cpp,213,EffectInf,0x0056ffec,0x0049e0c4,0x0049e0c0,FUN_0049e0c0,90,pseudocode/0049e0c0.c
game/effect.cpp,430,SprtID,0x0057002c,0x0049d01e,0x0049cf80,FUN_0049cf80,878,pseudocode/0049cf80.c
game/effect.cpp,431,SprtInf*,0x00570068,0x0049d03f,0x0049cf80,FUN_0049cf80,878,pseudocode/0049cf80.c
game/effect.cpp,432,sprtVERTEXC,0x005700a8,0x0049d060,0x0049cf80,FUN_0049cf80,878,pseudocode/0049cf80.c
game/effect.cpp,433,FVector,0x005700ec,0x0049d07f,0x0049cf80,FUN_0049cf80,878,pseudocode/0049cf80.c
game/ending.cpp,128,EndingMsgInf,0x00570268,0x004a093b,0x004a0600,FUN_004a0600,876,pseudocode/004a0600.c
game/ending.cpp,170,EndingInf,0x005702c0,0x004a1014,0x004a1010,FUN_004a1010,86,pseudocode/004a1010.c
game/enemy.cpp,69,EnemyInf,0x00570420,0x004a8929,0x004a8920,FUN_004a8920,155,pseudocode/004a8920.c
game/enemy.cpp,205,EclResourceInf,0x00570460,0x004a70b2,0x004a7080,FUN_004a7080,238,pseudocode/004a7080.c
game/enemy.cpp,420,EnemyCtrlInf,0x005704f8,0x004aba74,0x004aba70,FUN_004aba70,94,pseudocode/004aba70.c
game/fps.cpp,61,FPSInf,0x005705d8,0x004ac1a4,0x004ac1a0,FUN_004ac1a0,86,pseudocode/004ac1a0.c
game/front.cpp,402,FrontInf,0x00570694,0x004b9094,0x004b9090,FUN_004b9090,76,pseudocode/004b9090.c
game/front.cpp,1199,MsgInf,0x005706f8,0x004b9975,0x004b9740,FUN_004b9740,626,pseudocode/004b9740.c
game/game.cpp,594,GameInf,0x00570b8c,0x004bec76,0x004bec70,FUN_004bec70,175,pseudocode/004bec70.c
game/help.cpp,86,HelpInf,0x00570c2c,0x004bfc74,0x004bfc70,FUN_004bfc70,86,pseudocode/004bfc70.c
game/hit.cpp,73,HitCtrlInf,0x00570cc4,0x004c20d4,0x004c20d0,FUN_004c20d0,90,pseudocode/004c20d0.c
game/hit.cpp,605,HitInf,0x00570d00,0x004c0ecf,0x004c0e60,FUN_004c0e60,225,pseudocode/004c0e60.c
game/item.cpp,113,ItemInf,0x00570d74,0x004c5014,0x004c5010,FUN_004c5010,90,pseudocode/004c5010.c
game/keyconfig.cpp,74,KeyConfigTaskInf,0x00570e10,0x004c7cb4,0x004c7cb0,FUN_004c7cb0,90,pseudocode/004c7cb0.c
game/laser.h,315,LaserLineInf,0x005711d0,0x004cfb49,0x004cfb40,FUN_004cfb40,56,pseudocode/004cfb40.c
game/laser.h,468,CurveEquationInf,0x005712a0,0x004d5ab6,0x004d5a90,FUN_004d5a90,126,pseudocode/004d5a90.c
game/laser.cpp,163,LaserInf,0x00571438,0x004d7e44,0x004d7e40,FUN_004d7e40,90,pseudocode/004d7e40.c
game/laser.cpp,296,LaserLineInf,0x00571478,0x004d484b,0x004d47f0,FUN_004d47f0,474,pseudocode/004d47f0.c
game/laser.cpp,306,LaserInfiniteInf,0x005714c0,0x004d48ac,0x004d47f0,FUN_004d47f0,474,pseudocode/004d47f0.c
game/laser.cpp,317,LaserBeamInf,0x00571508,0x004d490d,0x004d47f0,FUN_004d47f0,474,pseudocode/004d47f0.c
game/laser.cpp,328,LaserCurveInf,0x00571550,0x004d4968,0x004d47f0,FUN_004d47f0,474,pseudocode/004d47f0.c
game/laser.cpp,551,LaserHitDataInf,0x00571598,0x004d461c,0x004d4150,FUN_004d4150,1284,pseudocode/004d4150.c
game/laser.cpp,1730,LaserHitDataInf,0x005715e0,0x004d40f4,0x004d3d70,FUN_004d3d70,986,pseudocode/004d3d70.c
game/laser.cpp,2597,sprtVERTEXC,0x00571628,0x004d3570,0x004d3230,FUN_004d3230,2665,pseudocode/004d3230.c
game/laser.cpp,2599,LaserCurveVtxInf,0x00571670,0x004d35aa,0x004d3230,FUN_004d3230,2665,pseudocode/004d3230.c
game/laser.cpp,2638,CurveEquationInf,0x005716b8,0x004d3870,0x004d3230,FUN_004d3230,2665,pseudocode/004d3230.c
game/laser.cpp,2719,LaserHitDataInf,0x00571700,0x004d3c50,0x004d3230,FUN_004d3230,2665,pseudocode/004d3230.c
game/laser.cpp,3617,u_char,0x00571748,0x004c9b1c,0x004c9ab0,FUN_004c9ab0,735,pseudocode/004c9ab0.c
game/loading.cpp,239,LoadingInf,0x005718c8,0x004d85c4,0x004d85c0,FUN_004d85c0,86,pseudocode/004d85c0.c
