from_va,to_va,function_entry,reference_type,text
"0x004117dd","0x0056c484","0x004117c0","DATA","Unknown exception"
"0x004117e4","0x0056c484","0x004117c0","DATA","Unknown exception"
"0x0040e107","0x0056c4b0","0x0040e100","DATA","bad array new length"
"0x0040fb03","0x0056c4c8","0x0040fb00","DATA","string too long"
"0x00411557","0x0056c51c","0x00411550","DATA","generic"
"0x00411567","0x0056c540","0x00411560","DATA","system"
"0x004113c9","0x0056c548","0x00411340","DATA","unknown error"
"0x0041065c","0x0056c570","0x00410610","DATA","exists"
"0x0041013e","0x0056c578","0x004100e0","DATA","D:\cygwin\home\zun\prog\th20\src\core\filectrl.cpp:50 u_char"
"0x0041041e","0x0056c5b8","0x004103c0","DATA","D:\cygwin\home\zun\prog\th20\src\core\filectrl.cpp:131 u_char"
"0x00410b72","0x0056c5f8","0x00410aa0","DATA","%s Decode ... 
"
"0x00410bbc","0x0056c60c","0x00410aa0","DATA","%s Load ... 
"
"0x00410c0e","0x0056c61c","0x00410aa0","DATA","error : %s is not found.
"
"0x00410c4f","0x0056c638","0x00410aa0","DATA","error : %s allocation error.
"
"0x004108f5","0x0056c658","0x00410840","DATA","error : %s write error %s
"
"0x00410dd5","0x0056c658","0x00410cf0","DATA","error : %s write error %s
"
"0x00410f56","0x0056c658","0x00410e70","DATA","error : %s write error %s
"
"0x00410fd3","0x0056c674","0x00410e70","DATA","error : %s write error
"
"0x00411015","0x0056c690","0x00410e70","DATA","%s write ...
"
"0x00410938","0x0056c6a0","0x00410840","DATA","%s open ...
"
"0x00410e18","0x0056c6a0","0x00410cf0","DATA","%s open ...
"
"0x004110f8","0x0056c6b0","0x00411060","DATA","error : write error
"
"0x00411120","0x0056c6c8","0x00411060","DATA","write ...
"
"0x004109fb","0x0056c6d4","0x00410990","DATA","D:\cygwin\home\zun\prog\th20\src\core\filectrl.cpp:496 void"
"0x00410a5c","0x0056c710","0x00410990","DATA","Read ...
"
"0x00410754","0x0056c71c","0x004106e0","DATA","close ...
"
"0x004127b9","0x0056c728","0x004127b0","DATA","D:\cygwin\home\zun\prog\th20\src\core\func.cpp:317 funcChainInf"
