va,data_type,length,text
"0x0056c484","string",18,"Unknown exception"
"0x0056c4b0","string",21,"bad array new length"
"0x0056c4c8","string",16,"string too long"
"0x0056c51c","string",8,"generic"
"0x0056c540","string",7,"system"
"0x0056c548","string",14,"unknown error"
"0x0056c570","string",7,"exists"
"0x0056c578","string",61,"D:\cygwin\home\zun\prog\th20\src\core\filectrl.cpp:50 u_char"
"0x0056c5b8","string",62,"D:\cygwin\home\zun\prog\th20\src\core\filectrl.cpp:131 u_char"
"0x0056c5f8","string",17,"%s Decode ... 
"
"0x0056c60c","string",15,"%s Load ... 
"
"0x0056c61c","string",27,"error : %s is not found.
"
"0x0056c638","string",31,"error : %s allocation error.
"
"0x0056c658","string",28,"error : %s write error %s
"
"0x0056c674","string",25,"error : %s write error
"
"0x0056c690","string",15,"%s write ...
"
"0x0056c6a0","string",14,"%s open ...
"
"0x0056c6b0","string",22,"error : write error
"
"0x0056c6c8","string",12,"write ...
"
"0x0056c6d4","string",60,"D:\cygwin\home\zun\prog\th20\src\core\filectrl.cpp:496 void"
"0x0056c710","string",11,"Read ...
"
"0x0056c71c","string",12,"close ...
"
"0x0056c728","string",64,"D:\cygwin\home\zun\prog\th20\src\core\func.cpp:317 funcChainInf"
"0x0056c7be","string",18,"pAvector too long"
"0x0056c7e0","string",61,"D:\cygwin\home\zun\prog\th20\src\core\grpfont.cpp:615 u_char"
"0x0056c840","unicode",20,"Yu Mincho"
"0x0056c860","string",61,"D:\cygwin\home\zun\prog\th20\src\core\grpfont.cpp:920 AflDIB"
"0x0056c8bc","string",14,"list too long"
"0x0056c8e8","string",31,"C++/WinRT version:2.0.250303.1"
"0x0056c908","string",17,"create_directory"
"0x0056c930","string",24,"invalid string position"
"0x0056c953","string",53,"^ --------------------------------------------- 
"
"0x0056c9a8","string",9,"th20.cfg"
"0x0056c9b4","string",63,"D:\cygwin\home\zun\prog\th20\src\core\main.cpp:172 FuncCtrlInf"
"0x0056c9f4","string",63,"D:\cygwin\home\zun\prog\th20\src\core\main.cpp:173 SprtCtrlInf"
"0x0056ca34","string",8,"%d, %d
"
"0x0056ca74","string",8,"log.txt"
"0x0056ca7c","unicode",16,"APPDATA"
"0x0056ca8c","string",14,"ShanghaiAlice"
"0x0056caa4","string",7,"replay"
"0x0056caac","string",9,"snapshot"
"0x0056cabc","string",14,"th20_%.3d.png"
"0x0056cb0e","unicode",62," Fossilized Wonder. ver 1.00c"
"0x0056cb50","unicode",72,"TH20 - Fossilized Wonder. ver 1.00c"
"0x0056cb98","unicode",10,"BASE"
"0x0056cd0c","unicode",18,"th20 App"
"0x0056cd38","string",24,"Invalid window handle.
"
"0x0056ce04","string",8,"L_THUMB"
"0x0056ce0c","string",8,"R_THUMB"
"0x0056ce14","string",6,"START"
"0x0056ce28","string",7,"MouseL"
"0x0056ce30","string",7,"MouseR"
