Name                  Size   Stored
ascii.anm           232979   212648
ascii_960.anm       270914   254554
ascii1280.anm       296067   296067
bullet.anm          654496   583912
effect.anm          294865   294865
screenswitch.anm    479818   479818
enemy.anm          1077592  1077592
front.anm          1873079  1873079
help.anm             34434    31002
pl00.anm           1863292  1863292
pl01.anm           1937335  1937335
sig.anm             293683   293683
stone.anm           808410   808410
trophy.anm            7578     5730
st01enm.anm        3175208  3175208
st01wl.anm         1192909  1192909
st01logo.anm         94901    94901
st02enm.anm        2936770  2936770
st02wl.anm         1266488  1266488
st02logo.anm        105143   105143
st03enm.anm        2967419  2967419
st03wl.anm         2316280  2316280
st03logo.anm        100295   100295
st04enm.anm        2991943  2991943
st04menm.anm        110497   110497
st04wla.anm        5366700  5366700
st04wlb.anm        5366700  5366700
st04wlc.anm        5366700  5366700
st04wld.anm        5366700  5366700
st04logo.anm        100298   100298
st05enm.anm        3497798  3497798
st05wl.anm         1578860  1578860
st05logo.anm        104760   104760
st06enm.anm        2800190  2800190
st06wl.anm          983145   983145
st06logo.anm        109019   109019
st07enm.anm        3134350  3134350
st07menm.anm       2062002  2062002
st07wl.anm         1825493  1825493
st07logo.anm         95357    95357
text.anm             28952     6279
notice.anm           54792    54792
ghost.anm            41718    34119
aura.anm             25097    15590
aura.anm             25097    15590
title.anm          9824455  9824455
title_v.anm           1534     1410
ebg00.anm           139768   139768
ebg01.anm           136570   136570
ebg02.anm           144092   144092
ebg03.anm           131411   131411
ebg04.anm           110851   110851
ebg05.anm           118651   118651
ebg06.anm           129038   129038
ebg07.anm           152439   152439
e00a0.anm          3899434  3899434
e00a1.anm          3775522  3775522
e00a2.anm          3848831  3848831
e00a3.anm          3822653  3822653
e00a4.anm          3861303  3861303
e00a5.anm          3872620  3872620
e00a6.anm          3765483  3765483
e00a7.anm          3816960  3816960
e01a0.anm          3897142  3897142
e01a1.anm          3875042  3875042
e01a2.anm          3909137  3909137
e01a3.anm          3832860  3832860
e01a4.anm          3848646  3848646
e01a5.anm          3849799  3849799
e01a6.anm          3899158  3899158
e01a7.anm          3789495  3789495
e00b.anm           1521297  1521297
e01b.anm           1563406  1563406
staff.anm          1902272  1902272
default.ecl          24176     4758
musiccmt.txt          5405     3041
trophy.txt           10756     2554
stonetext.txt        12875     4649
pl00.sht             57012     8667
pl01.sht             51252     7918
common.ecl            2572      711
st01.ecl             35300     6778
st01bs.ecl           19760     4353
st01mbs.ecl           5160     1454
st02.ecl             44884     8146
st02bs.ecl           19808     4298
st02mbs.ecl           5368     1509
st03.ecl             49112     9182
st03bs.ecl           33096     6648
st04.ecl             45624     8924
st04bs.ecl           32312     6397
st04mbs.ecl          12064     2759
st05.ecl             23376     5374
st05bs.ecl           29620     6091
st05mbs.ecl          13680     2930
st06.ecl             22056     4561
st06bs.ecl           50932    10036
st07.ecl             30696     5784
st07bs.ecl           66920    12053
st07mbs.ecl          15072     3311
st01r0.msg            1592     1072
st01r1.msg            1600     1069
st01r2.msg            1596     1071
st01r3.msg            1592     1079
st01m0.msg            1620     1098
st01m1.msg            1644     1131
st01m2.msg            1616     1106
st01m3.msg            1656     1142
st02r0.msg            2932     2034
st02r1.msg            2912     2014
st02r2.msg            2924     2038
st02r3.msg            2908     2009
st02m0.msg            3084     2095
st02m1.msg            3084     2096
st02m2.msg            3072     2085
st02m3.msg            3124     2134
st03r0.msg            3476     2329
st03r1.msg            3460     2309
st03r2.msg            3484     2350
st03r3.msg            3484     2337
st03m0.msg            3968     2727
st03m1.msg            4012     2770
st03m2.msg            4012     2763
st03m3.msg            3996     2753
st04r0.msg            3884     2624
