entry_va,name,role_candidate,role_confidence,recovery_status,build_integration_status,module_id,ghidra_body_bytes,source_paths,warnings,undefined_type_occurrences,generated_globals,register_values,unresolved_indirect_calls,pseudocode_file
0x00401000,FUN_00401000,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,40,,0,1,1,0,0,pseudocode/00401000.c
0x00401030,FUN_00401030,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,40,,0,1,1,0,0,pseudocode/00401030.c
0x00401060,FUN_00401060,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,40,,0,0,1,0,0,pseudocode/00401060.c
0x00401090,FUN_00401090,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,31,,0,0,1,0,0,pseudocode/00401090.c
0x004010b0,FUN_004010b0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,28,,0,0,1,0,0,pseudocode/004010b0.c
0x004010d0,FUN_004010d0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,28,,0,0,1,0,0,pseudocode/004010d0.c
0x004010f0,FUN_004010f0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,16,,0,1,1,0,0,pseudocode/004010f0.c
0x00401100,FUN_00401100,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,18,,0,0,1,0,0,pseudocode/00401100.c
0x00401120,FUN_00401120,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,18,,0,0,1,0,0,pseudocode/00401120.c
0x00401140,FUN_00401140,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,18,,0,0,1,0,0,pseudocode/00401140.c
0x00401160,FUN_00401160,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,18,,0,0,1,0,0,pseudocode/00401160.c
0x00401180,FUN_00401180,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,16,,0,0,0,0,0,pseudocode/00401180.c
0x00401190,FUN_00401190,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,40,,0,1,1,0,0,pseudocode/00401190.c
0x004011c0,FUN_004011c0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,43,,0,1,1,0,0,pseudocode/004011c0.c
0x004011f0,FUN_004011f0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,18,,0,0,0,0,0,pseudocode/004011f0.c
0x00401210,FUN_00401210,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,40,,0,1,1,0,0,pseudocode/00401210.c
0x00401240,FUN_00401240,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,16,,0,0,0,0,0,pseudocode/00401240.c
