original_sha256=a274b45fe6ec53511718bb328c2ff169a74e67f95d1b0c74d97d348b955a0897
slowdown_bits=3a83126f
native_returned lines=25
No.01 ORIGINAL 26/01/01 08:00 Reimu  Red     Easy    -26815616029685812986253046995232802830558139993445335442944457968490964366591306022794346577964871938769146673920561576064235197000279593632787961393184768.0%
No.02 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.03 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.04 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.05 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.06 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.07 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.08 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.09 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.10 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.11 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.12 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.13 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.14 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.15 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.16 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.17 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.18 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.19 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.20 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.21 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.22 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.23 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.24 -------- --/--/-- --:-- ------ ------- ------- --- ---%
No.25 -------- --/--/-- --:-- ------ ------- ------- --- ---%
